2016-11-27 12:44:14,184 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.arun:ReadACSVFileAndSimpleOutputOnConsole:0.0.1-SNAPSHOT @ C:\Users\Adwiti\SpringBatch\ReadACSVFileAndSimpleOutputOnConsole\pom.xml.
2016-11-27 12:44:15,084 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ReadACSVFileAndSimpleOutputOnConsole/src/main/java
2016-11-27 12:44:15,086 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /ReadACSVFileAndSimpleOutputOnConsole/src/main/resources
2016-11-27 12:44:15,087 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ReadACSVFileAndSimpleOutputOnConsole/src/test/java
2016-11-27 12:44:15,088 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /ReadACSVFileAndSimpleOutputOnConsole/src/test/resources
2016-11-27 12:44:15,746 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-27 12:44:15,751 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-27 12:44:15,753 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-27 12:44:15,754 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-27 13:54:49,919 [Worker-25] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.arun:ReadACSVFileAndSimpleOutputOnConsole:0.0.1-SNAPSHOT @ C:\Users\Adwiti\SpringBatch\ReadACSVFileAndSimpleOutputOnConsole\pom.xml.
2016-11-27 13:54:50,329 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-27 13:54:50,332 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-27 13:54:50,333 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-27 13:54:50,335 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-27 13:55:05,101 [Worker-25] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.arun:ReadACSVFileAndSimpleOutputOnConsole:0.0.1-SNAPSHOT @ C:\Users\Adwiti\SpringBatch\ReadACSVFileAndSimpleOutputOnConsole\pom.xml.
2016-11-27 13:55:05,379 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-27 13:55:05,381 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-27 13:55:05,383 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-27 13:55:05,384 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-27 13:56:36,629 [Worker-26] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.arun:ReadACSVFileAndSimpleOutputOnConsole:0.0.1-SNAPSHOT @ C:\Users\Adwiti\SpringBatch\ReadACSVFileAndSimpleOutputOnConsole\pom.xml.
2016-11-27 13:56:36,843 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-27 13:56:36,845 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-27 13:56:36,847 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-27 13:56:36,848 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-27 13:56:38,176 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
